mp,sim,full_name,member
18116,0.7887901813,Лубінець Дмитро,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
15727,0.7887814121,Домбровський Олександр,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18112,0.7847691725,Кучер Микола,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18016,0.7841742143,Єднак Остап,Позафракційні
17950,0.7841494809,Тимчук Дмитро,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
17984,0.7822474313,Гончаренко Олексій,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
13646,0.779208054,Курячий Максим,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
15684,0.778457643,Бєлькова Ольга,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
15674,0.7771943958,Пацкан Валерій,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
8803,0.776950972,Курило Віталій,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
15685,0.7746119657,Іщенко Валерій,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
1897,0.7745544447,Князевич Руслан,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18604,0.7741552164,Бабій Юрій,Позафракційні
11694,0.7730819543,Левус Андрій,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
9123,0.7728455393,Рибак Іван,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18115,0.7725372572,Лівік Олександр,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
15972,0.7725303743,Макар'ян Давид,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
15662,0.7722038652,Лунченко Валерій,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
15671,0.7687400509,Паламарчук Микола,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18150,0.7685635405,Юрчишин Петро,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
19404,0.7673757667,Шверк Григорій,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
11121,0.7666259246,Геращенко Ірина,Позафракційні
18069,0.7653349454,Вінник Іван,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18068,0.765000004,Валентиров Сергій,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
17948,0.7642150813,Сюмар Вікторія,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
15676,0.7630361259,Ткачук Геннадій,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18002,0.7621139075,Гопко Ганна,Позафракційні
19405,0.7611739267,Севрюков Владислав,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18134,0.7608705929,Соловей Юрій,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18019,0.7599832507,Опанасенко Олександр,"Фракція Політичної партії "Об'єднання "САМОПОМІЧ"
18022,0.7574746445,Пташник Вікторія,Позафракційні
17414,0.7567540239,Колганова Олена,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
10204,0.7562701109,Ленський Олексій,Фракція Радикальної партії Олега Ляшка
18088,0.7561997553,Дубневич Богдан,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
8818,0.7549700154,Ляшко Олег,Фракція Радикальної партії Олега Ляшка
18027,0.7540653987,Березюк Олег,"Фракція Політичної партії "Об'єднання "САМОПОМІЧ"
18084,0.7532613237,Дмитренко Олег,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18029,0.7525601387,Романова Анна,"Фракція Політичної партії "Об'єднання "САМОПОМІЧ"
